Año	Mes	violence type	VictimsCount
1958	1	VI	0
1958	1	VS	13
1958	2	VI	0
1958	2	VS	7
1958	3	VI	0
1958	3	VS	5
1958	4	VI	0
1958	4	VS	2
1958	5	VI	0
1958	5	VS	7
1958	6	VI	0
1958	6	VS	5
1958	7	VI	0
1958	7	VS	11
1958	8	VI	0
1958	8	VS	2
1958	9	VI	0
1958	9	VS	9
1958	10	VI	0
1958	10	VS	0
1958	11	VI	0
1958	11	VS	0
1958	12	VI	0
1958	12	VS	1
1959	1	VI	0
1959	1	VS	0
1959	2	VI	0
1959	2	VS	1
1959	3	VI	0
1959	3	VS	25
1959	4	VI	0
1959	4	VS	16
1959	5	VI	0
1959	5	VS	16
1959	6	VI	0
1959	6	VS	0
1959	7	VI	0
1959	7	VS	0
1959	8	VI	0
1959	8	VS	4
1959	9	VI	0
1959	9	VS	0
1959	10	VI	0
1959	10	VS	0
1959	11	VI	0
1959	11	VS	0
1959	12	VI	0
1959	12	VS	6
1960	1	VI	0
1960	1	VS	11
1960	2	VI	0
1960	2	VS	1
1960	3	VI	0
1960	3	VS	9
1960	4	VI	0
1960	4	VS	18
1960	5	VI	0
1960	5	VS	0
1960	6	VI	0
1960	6	VS	11
1960	7	VI	0
1960	7	VS	11
1960	8	VI	0
1960	8	VS	12
1960	9	VI	0
1960	9	VS	19
1960	10	VI	0
1960	10	VS	1
1960	11	VI	0
1960	11	VS	0
1960	12	VI	0
1960	12	VS	9
1961	1	VI	0
1961	1	VS	44
1961	2	VI	0
1961	2	VS	10
1961	3	VI	0
1961	3	VS	15
1961	4	VI	0
1961	4	VS	13
1961	5	VI	0
1961	5	VS	0
1961	6	VI	0
1961	6	VS	5
1961	7	VI	0
1961	7	VS	5
1961	8	VI	0
1961	8	VS	2
1961	9	VI	0
1961	9	VS	2
1961	10	VI	0
1961	10	VS	2
1961	11	VI	0
1961	11	VS	9
1961	12	VI	0
1961	12	VS	0
1962	1	VI	0
1962	1	VS	14
1962	2	VI	0
1962	2	VS	1
1962	3	VI	0
1962	3	VS	8
1962	4	VI	0
1962	4	VS	3
1962	5	VI	0
1962	5	VS	1
1962	6	VI	0
1962	6	VS	4
1962	7	VI	0
1962	7	VS	8
1962	8	VI	0
1962	8	VS	4
1962	9	VI	0
1962	9	VS	3
1962	10	VI	0
1962	10	VS	0
1962	11	VI	0
1962	11	VS	9
1962	12	VI	0
1962	12	VS	1
1963	1	VI	0
1963	1	VS	2
1963	2	VI	0
1963	2	VS	0
1963	3	VI	0
1963	3	VS	0
1963	4	VI	0
1963	4	VS	0
1963	5	VI	0
1963	5	VS	0
1963	6	VI	0
1963	6	VS	1
1963	7	VI	0
1963	7	VS	3
1963	8	VI	0
