Año	Mes	violence type	CaseCount
1996	9	VS	17
1996	10	VI	0
1996	10	VS	27
1996	11	VI	0
1996	11	VS	19
1996	12	VI	1
1996	12	VS	37
1997	1	VI	2
1997	1	VS	40
1997	2	VI	1
1997	2	VS	25
1997	3	VI	0
1997	3	VS	31
1997	4	VI	1
1997	4	VS	37
1997	5	VI	2
1997	5	VS	46
1997	6	VI	2
1997	6	VS	38
1997	7	VI	0
1997	7	VS	47
1997	8	VI	0
1997	8	VS	42
1997	9	VI	0
1997	9	VS	60
1997	10	VI	0
1997	10	VS	44
1997	11	VI	0
1997	11	VS	47
1997	12	VI	1
1997	12	VS	31
1998	1	VI	0
1998	1	VS	46
1998	2	VI	0
1998	2	VS	48
1998	3	VI	0
1998	3	VS	47
1998	4	VI	0
1998	4	VS	47
1998	5	VI	0
1998	5	VS	58
1998	6	VI	0
1998	6	VS	53
1998	7	VI	1
1998	7	VS	48
1998	8	VI	0
1998	8	VS	58
1998	9	VI	1
1998	9	VS	58
1998	10	VI	1
1998	10	VS	62
1998	11	VI	0
1998	11	VS	56
1998	12	VI	1
1998	12	VS	33
1999	1	VI	1
1999	1	VS	68
1999	2	VI	0
1999	2	VS	31
1999	3	VI	0
1999	3	VS	51
1999	4	VI	1
1999	4	VS	45
1999	5	VI	0
1999	5	VS	59
1999	6	VI	2
1999	6	VS	43
1999	7	VI	0
1999	7	VS	52
1999	8	VI	0
1999	8	VS	54
1999	9	VI	1
1999	9	VS	62
1999	10	VI	0
1999	10	VS	68
1999	11	VI	1
1999	11	VS	61
1999	12	VI	0
1999	12	VS	45
2000	1	VI	2
2000	1	VS	106
2000	2	VI	1
2000	2	VS	65
2000	3	VI	0
2000	3	VS	71
2000	4	VI	1
2000	4	VS	70
2000	5	VI	1
2000	5	VS	53
2000	6	VI	1
2000	6	VS	89
2000	7	VI	0
2000	7	VS	101
2000	8	VI	1
2000	8	VS	90
2000	9	VI	1
2000	9	VS	79
2000	10	VI	1
2000	10	VS	52
2000	11	VI	2
2000	11	VS	99
2000	12	VI	2
2000	12	VS	76
2001	1	VI	5
2001	1	VS	167
2001	2	VI	0
2001	2	VS	98
2001	3	VI	4
2001	3	VS	108
2001	4	VI	1
2001	4	VS	67
2001	5	VI	4
2001	5	VS	69
2001	6	VI	6
2001	6	VS	61
2001	7	VI	1
2001	7	VS	82
2001	8	VI	1
2001	8	VS	94
2001	9	VI	2
2001	9	VS	58
2001	10	VI	0
2001	10	VS	69
2001	11	VI	1
2001	11	VS	72
2001	12	VI	0
2001	12	VS	66
2002	1	VI	6
2002	1	VS	81
2002	2	VI	2
2002	2	VS	58
2002	3	VI	2
2002	3	VS	89
2002	4	VI	3
2002	4	VS	90
2002	5	VI	7
2002	5	VS	53
2002	6	VI	6
2002	6	VS	78
2002	7	VI	3
2002	7	VS	59
2002	8	VI	3
2002	8	VS	73
2002	9	VI	6
2002	9	VS	55
2002	10	VI	5
2002	10	VS	70
2002	11	VI	4
2002	11	VS	57
2002	12	VI	2
2002	12	VS	55
2003	1	VI	9
2003	1	VS	85
2003	2	VI	6
2003	2	VS	46
2003	3	VI	4
2003	3	VS	54
2003	4	VI	0
2003	4	VS	59
2003	5	VI	2
2003	5	VS	56
2003	6	VI	7
2003	6	VS	67
2003	7	VI	10
2003	7	VS	58
2003	8	VI	3
2003	8	VS	58
2003	9	VI	4
2003	9	VS	43
2003	10	VI	6
2003	10	VS	52
2003	11	VI	7
2003	11	VS	46
2003	12	VI	6
2003	12	VS	48
2004	1	VI	2
2004	1	VS	62
2004	2	VI	2
2004	2	VS	33
2004	3	VI	1
2004	3	VS	30
2004	4	VI	3
2004	4	VS	37
2004	5	VI	2
2004	5	VS	34
2004	6	VI	1
2004	6	VS	39
2004	7	VI	5
2004	7	VS	24
2004	8	VI	0
2004	8	VS	25
2004	9	VI	2
2004	9	VS	25
2004	10	VI	2
2004	10	VS	29
2004	11	VI	0
2004	11	VS	32
2004	12	VI	3
2004	12	VS	38
2005	1	VI	1
2005	1	VS	32
2005	2	VI	0
2005	2	VS	35
2005	3	VI	1
2005	3	VS	12
2005	4	VI	1
2005	4	VS	27
2005	5	VI	2
2005	5	VS	28
2005	6	VI	1
2005	6	VS	19
2005	7	VI	0
2005	7	VS	17
2005	8	VI	0
2005	8	VS	27
2005	9	VI	3
2005	9	VS	17
2005	10	VI	0
2005	10	VS	19
2005	11	VI	0
2005	11	VS	26
2005	12	VI	2
2005	12	VS	20
2006	1	VI	1
