Año	Mes	violence type	CaseCount	Escalation	Intensity	Previous State
1962	2	VI	23.0	-1	1	A
1962	2	VS	52.0	1	1	A
1962	3	VC	49.0	-1	1	C
1962	3	VI	20.0	-1	1	C
1962	3	VS	29.0	-1	1	A
1962	4	VC	32.0	-1	-1	C
1962	4	VI	19.0	-1	1	C
1962	4	VS	13.0	-1	-1	C
1962	5	VC	23.0	-1	-1	I
1962	5	VI	10.0	-1	1	C
1962	5	VS	13.0	0	-1	I
1962	6	VC	29.0	1	-1	I
1962	6	VI	11.0	1	1	C
1962	6	VS	18.0	1	-1	H
1962	7	VC	67.0	1	1	G
1962	7	VI	22.0	1	1	A
1962	7	VS	45.0	1	1	G
1962	8	VC	48.0	-1	1	A
1962	8	VI	6.0	-1	-1	A
1962	8	VS	42.0	-1	1	A
1962	9	VC	42.0	-1	1	C
1962	9	VI	18.0	1	1	I
1962	9	VS	24.0	-1	-1	C
1962	10	VC	54.0	1	1	C
1962	10	VI	19.0	1	1	A
1962	10	VS	35.0	1	1	I
1962	11	VC	44.0	-1	1	A
1962	11	VI	14.0	-1	1	A
1962	11	VS	30.0	-1	1	A
1962	12	VC	38.0	-1	-1	C
1962	12	VI	20.0	1	1	C
1962	12	VS	18.0	-1	-1	C
1963	1	VC	96.0	1	1	I
1963	1	VI	51.0	1	1	A
1963	1	VS	45.0	1	1	I
1963	2	VC	55.0	-1	1	A
1963	2	VI	26.0	-1	1	A
1963	2	VS	29.0	-1	1	A
1963	3	VC	56.0	1	1	C
1963	3	VI	23.0	-1	1	C
1963	3	VS	33.0	1	1	C
1963	4	VC	55.0	-1	1	A
1963	4	VI	30.0	1	1	C
1963	4	VS	25.0	-1	-1	A
1963	5	VC	36.0	-1	-1	C
1963	5	VI	20.0	-1	1	A
1963	5	VS	16.0	-1	-1	I
1963	6	VC	50.0	1	1	I
1963	6	VI	15.0	-1	1	C
1963	6	VS	35.0	1	1	I
1963	7	VC	47.0	-1	1	A
1963	7	VI	15.0	0	-1	C
1963	7	VS	32.0	-1	1	A
1963	8	VC	26.0	-1	-1	C
1963	8	VI	7.0	-1	-1	H
1963	8	VS	19.0	-1	-1	C
1963	9	VC	35.0	1	-1	I
1963	9	VI	5.0	-1	-1	I
1963	9	VS	30.0	1	1	I
1963	10	VC	27.0	-1	-1	G
1963	10	VI	9.0	1	-1	I
1963	10	VS	18.0	-1	-1	A
1963	11	VC	23.0	-1	-1	I
1963	11	VI	14.0	1	-1	G
1963	11	VS	9.0	-1	-1	I
1963	12	VC	24.0	1	-1	I
1963	12	VI	11.0	-1	-1	G
1963	12	VS	13.0	1	-1	I
1964	1	VC	25.0	1	-1	G
1964	1	VI	10.0	-1	-1	I
1964	1	VS	15.0	1	-1	G
1964	2	VC	23.0	-1	-1	G
1964	2	VI	10.0	0	-1	I
1964	2	VS	13.0	-1	-1	G
1964	3	VC	25.0	1	-1	I
1964	3	VI	11.0	1	-1	H
1964	3	VS	14.0	1	-1	I
1964	4	VC	30.0	1	-1	G
1964	4	VI	16.0	1	-1	G
1964	4	VS	14.0	0	-1	G
1964	5	VC	35.0	1	-1	G
1964	5	VI	21.0	1	1	G
1964	5	VS	14.0	0	-1	H
1964	6	VC	35.0	0	-1	G
1964	6	VI	17.0	-1	1	A
1964	6	VS	18.0	1	-1	H
1964	7	VC	32.0	-1	-1	H
1964	7	VI	12.0	-1	-1	C
1964	7	VS	20.0	1	-1	G
1964	8	VC	15.0	-1	-1	I
1964	8	VI	8.0	-1	-1	I
1964	8	VS	7.0	-1	-1	G
1964	9	VC	13.0	-1	-1	I
1964	9	VI	9.0	1	-1	I
1964	9	VS	4.0	-1	-1	I
1964	10	VC	10.0	-1	-1	I
1964	10	VI	6.0	-1	-1	G
1964	10	VS	4.0	0	-1	I
1964	11	VC	3.0	-1	-1	I
1964	11	VI	1.0	-1	-1	I
1964	11	VS	2.0	-1	-1	H
1964	12	VC	8.0	1	-1	I
1964	12	VI	2.0	1	-1	I
1964	12	VS	6.0	1	-1	I
1965	1	VC	38.0	1	1	G
