Año	Mes	violence type	VictimsCount
1969	8	VI	0
1969	8	VS	14
1969	9	VI	0
1969	9	VS	2
1969	10	VI	0
1969	10	VS	22
1969	11	VI	0
1969	11	VS	5
1969	12	VI	0
1969	12	VS	4
1970	1	VI	0
1970	1	VS	17
1970	2	VI	2
1970	2	VS	19
1970	3	VI	0
1970	3	VS	28
1970	4	VI	0
1970	4	VS	9
1970	5	VI	0
1970	5	VS	30
1970	6	VI	0
1970	6	VS	7
1970	7	VI	0
1970	7	VS	19
1970	8	VI	0
1970	8	VS	12
1970	9	VI	0
1970	9	VS	15
1970	10	VI	0
1970	10	VS	6
1970	11	VI	0
1970	11	VS	7
1970	12	VI	0
1970	12	VS	3
1971	1	VI	0
1971	1	VS	10
1971	2	VI	0
1971	2	VS	13
1971	3	VI	0
1971	3	VS	2
1971	4	VI	0
1971	4	VS	4
1971	5	VI	0
1971	5	VS	3
1971	6	VI	0
1971	6	VS	2
1971	7	VI	0
1971	7	VS	1
1971	8	VI	0
1971	8	VS	6
1971	9	VI	0
1971	9	VS	3
1971	10	VI	0
1971	10	VS	3
1971	11	VI	0
1971	11	VS	6
1971	12	VI	0
1971	12	VS	3
1972	1	VI	0
1972	1	VS	15
1972	2	VI	0
1972	2	VS	1
1972	3	VI	0
1972	3	VS	12
1972	4	VI	0
1972	4	VS	4
1972	5	VI	0
1972	5	VS	19
1972	6	VI	0
1972	6	VS	9
1972	7	VI	0
1972	7	VS	3
1972	8	VI	0
1972	8	VS	2
1972	9	VI	0
1972	9	VS	7
1972	10	VI	0
1972	10	VS	2
1972	11	VI	0
1972	11	VS	5
1972	12	VI	0
1972	12	VS	0
1973	1	VI	0
1973	1	VS	9
1973	2	VI	0
1973	2	VS	4
1973	3	VI	0
1973	3	VS	1
1973	4	VI	0
1973	4	VS	2
1973	5	VI	0
1973	5	VS	3
1973	6	VI	0
1973	6	VS	10
1973	7	VI	0
1973	7	VS	6
1973	8	VI	0
1973	8	VS	4
1973	9	VI	0
1973	9	VS	1
1973	10	VI	0
1973	10	VS	4
1973	11	VI	0
1973	11	VS	1
1973	12	VI	0
1973	12	VS	2
1974	1	VI	0
1974	1	VS	50
1974	2	VI	0
1974	2	VS	3
1974	3	VI	0
1974	3	VS	2
1974	4	VI	0
1974	4	VS	12
1974	5	VI	0
1974	5	VS	7
1974	6	VI	0
1974	6	VS	11
1974	7	VI	0
1974	7	VS	8
1974	8	VI	0
1974	8	VS	3
1974	9	VI	0
1974	9	VS	6
1974	10	VI	2
1974	10	VS	6
1974	11	VI	0
1974	11	VS	0
1974	12	VI	0
1974	12	VS	1
1975	1	VI	0
1975	1	VS	16
1975	2	VI	0
1975	2	VS	11
1975	3	VI	0
1975	3	VS	8
1975	4	VI	0
1975	4	VS	3
1975	5	VI	0
1975	5	VS	11
1975	6	VI	0
1975	6	VS	12
1975	7	VI	0
1975	7	VS	13
1975	8	VI	0
1975	8	VS	19
1975	9	VI	0
1975	9	VS	17
1975	10	VI	0
1975	10	VS	5
1975	11	VI	0
1975	11	VS	8
1975	12	VI	0
1975	12	VS	4
1976	1	VI	0
1976	1	VS	8
1976	2	VI	0
1976	2	VS	6
1976	3	VI	0
1976	3	VS	14
1976	4	VI	0
1976	4	VS	1
1976	5	VI	0
1976	5	VS	21
1976	6	VI	0
1976	6	VS	4
1976	7	VI	0
1976	7	VS	17
1976	8	VI	0
1976	8	VS	8
1976	9	VI	0
1976	9	VS	9
1976	10	VI	0
1976	10	VS	6
1976	11	VI	0
1976	11	VS	5
1976	12	VI	0
1976	12	VS	4
1977	1	VI	0
1977	1	VS	5
1977	2	VI	0
1977	2	VS	13
1977	3	VI	0
1977	3	VS	14
1977	4	VI	0
1977	4	VS	14
1977	5	VI	0
1977	5	VS	7
1977	6	VI	0
1977	6	VS	15
1977	7	VI	0
1977	7	VS	5
1977	8	VI	0
1977	8	VS	23
1977	9	VI	0
1977	9	VS	9
1977	10	VI	0
1977	10	VS	10
1977	11	VI	0
1977	11	VS	10
1977	12	VI	0
1977	12	VS	19
1978	1	VI	0
1978	1	VS	20
1978	2	VI	0
1978	2	VS	15
1978	3	VI	0
1978	3	VS	11
1978	4	VI	0
