Año	Mes	violence type	VictimsCount	Escalation	Intensity	Previous State
1962	2	VS	142.0	1	1	A
1962	3	VC	81.0	-1	1	A
1962	3	VI	0.0	0	0	E
1962	3	VS	81.0	-1	1	A
1962	4	VC	24.0	-1	-1	C
1962	4	VI	0.0	0	0	E
1962	4	VS	24.0	-1	-1	C
1962	5	VC	39.0	1	-1	I
1962	5	VI	0.0	0	0	E
1962	5	VS	39.0	1	-1	I
1962	6	VC	49.0	1	-1	G
1962	6	VI	0.0	0	0	E
1962	6	VS	49.0	1	-1	G
1962	7	VC	105.0	1	1	G
1962	7	VI	0.0	0	0	E
1962	7	VS	105.0	1	1	G
1962	8	VC	128.0	1	1	A
1962	8	VI	0.0	0	0	E
1962	8	VS	128.0	1	1	A
1962	9	VC	45.0	-1	-1	A
1962	9	VI	1.0	1	1	E
1962	9	VS	44.0	-1	-1	A
1962	10	VC	82.0	1	1	I
1962	10	VI	3.0	1	1	A
1962	10	VS	79.0	1	1	I
1962	11	VC	98.0	1	1	A
1962	11	VI	0.0	-1	-1	A
1962	11	VS	98.0	1	1	A
1962	12	VC	38.0	-1	-1	A
1962	12	VI	0.0	0	-1	I
1962	12	VS	38.0	-1	-1	A
1963	1	VC	108.0	1	1	I
1963	1	VI	0.0	0	-1	H
1963	1	VS	108.0	1	1	I
1963	2	VC	133.0	1	1	A
1963	2	VI	0.0	0	-1	H
1963	2	VS	133.0	1	1	A
1963	3	VC	120.0	-1	1	A
1963	3	VI	3.0	1	1	H
1963	3	VS	117.0	-1	1	A
1963	4	VC	38.0	-1	-1	C
1963	4	VI	3.0	0	1	A
1963	4	VS	35.0	-1	-1	C
1963	5	VC	53.0	1	-1	I
1963	5	VI	0.0	-1	-1	B
1963	5	VS	53.0	1	-1	I
1963	6	VC	82.0	1	1	G
1963	6	VI	8.0	1	1	I
1963	6	VS	74.0	1	1	G
1963	7	VC	93.0	1	1	A
1963	7	VI	0.0	-1	-1	A
1963	7	VS	93.0	1	1	A
1963	8	VC	95.0	1	1	A
1963	8	VI	1.0	1	1	I
1963	8	VS	94.0	1	1	A
1963	9	VC	65.0	-1	-1	A
1963	9	VI	0.0	-1	-1	A
1963	9	VS	65.0	-1	-1	A
1963	10	VC	19.0	-1	-1	I
1963	10	VI	0.0	0	-1	I
1963	10	VS	19.0	-1	-1	I
1963	11	VC	21.0	1	-1	I
1963	11	VI	0.0	0	-1	H
1963	11	VS	21.0	1	-1	I
1963	12	VC	36.0	1	-1	G
1963	12	VI	0.0	0	-1	H
1963	12	VS	36.0	1	-1	G
1964	1	VC	37.0	1	-1	G
1964	1	VI	0.0	0	-1	H
1964	1	VS	37.0	1	-1	G
1964	2	VC	21.0	-1	-1	G
1964	2	VI	0.0	0	-1	H
1964	2	VS	21.0	-1	-1	G
1964	3	VC	19.0	-1	-1	I
1964	3	VI	0.0	0	-1	H
1964	3	VS	19.0	-1	-1	I
1964	4	VC	12.0	-1	-1	I
1964	4	VI	0.0	0	-1	H
1964	4	VS	12.0	-1	-1	I
1964	5	VC	21.0	1	-1	I
1964	5	VI	0.0	0	-1	H
1964	5	VS	21.0	1	-1	I
1964	6	VC	16.0	-1	-1	G
1964	6	VI	5.0	1	1	H
1964	6	VS	11.0	-1	-1	G
1964	7	VC	18.0	1	-1	I
1964	7	VI	0.0	-1	-1	A
1964	7	VS	18.0	1	-1	I
1964	8	VC	6.0	-1	-1	G
1964	8	VI	0.0	0	-1	I
1964	8	VS	6.0	-1	-1	G
1964	9	VC	3.0	-1	-1	I
1964	9	VI	0.0	0	-1	H
1964	9	VS	3.0	-1	-1	I
1964	10	VC	3.0	0	-1	I
1964	10	VI	0.0	0	-1	H
1964	10	VS	3.0	0	-1	I
1964	11	VC	7.0	1	-1	H
1964	11	VI	0.0	0	-1	H
1964	11	VS	7.0	1	-1	H
1964	12	VC	16.0	1	-1	G
1964	12	VI	0.0	0	-1	H
1964	12	VS	16.0	1	-1	G
1965	1	VC	41.0	1	-1	G
1965	1	VI	0.0	0	-1	H
1965	1	VS	41.0	1	-1	G
1965	2	VC	20.0	-1	-1	G
1965	2	VI	0.0	0	-1	H
1965	2	VS	20.0	-1	-1	G
1965	3	VC	48.0	1	-1	I
1965	3	VI	0.0	0	-1	H
1965	3	VS	48.0	1	-1	I
1965	4	VC	31.0	-1	-1	G
1965	4	VI	0.0	0	-1	H
1965	4	VS	31.0	-1	-1	G
1965	5	VC	24.0	-1	-1	I
1965	5	VI	0.0	0	-1	H
1965	5	VS	24.0	-1	-1	I
1965	6	VC	11.0	-1	-1	I
1965	6	VI	0.0	0	-1	H
1965	6	VS	11.0	-1	-1	I
1965	7	VC	39.0	1	-1	I
1965	7	VI	1.0	1	1	H
