Año	Mes	violence type	CaseCount	Escalation	Intensity	Previous State
1962	2	VI	0.0	0	-1	H
1962	2	VS	49.0	1	1	A
1962	3	VC	26.0	-1	1	A
1962	3	VI	0.0	0	-1	H
1962	3	VS	26.0	-1	1	A
1962	4	VC	13.0	-1	-1	C
1962	4	VI	0.0	0	-1	H
1962	4	VS	13.0	-1	-1	C
1962	5	VC	12.0	-1	-1	I
1962	5	VI	0.0	0	-1	H
1962	5	VS	12.0	-1	-1	I
1962	6	VC	18.0	1	-1	I
1962	6	VI	0.0	0	-1	H
1962	6	VS	18.0	1	-1	I
1962	7	VC	45.0	1	1	G
1962	7	VI	0.0	0	0	H
1962	7	VS	45.0	1	1	G
1962	8	VC	39.0	-1	1	A
1962	8	VI	0.0	0	0	E
1962	8	VS	39.0	-1	1	A
1962	9	VC	25.0	-1	-1	C
1962	9	VI	1.0	1	1	E
1962	9	VS	24.0	-1	-1	C
1962	10	VC	29.0	1	1	I
1962	10	VI	1.0	0	1	A
1962	10	VS	28.0	1	1	I
1962	11	VC	26.0	-1	-1	A
1962	11	VI	0.0	-1	-1	B
1962	11	VS	26.0	-1	0	A
1962	12	VC	17.0	-1	-1	I
1962	12	VI	1.0	1	1	I
1962	12	VS	16.0	-1	-1	F
1963	1	VC	44.0	1	1	I
1963	1	VI	0.0	-1	-1	A
1963	1	VS	44.0	1	1	I
1963	2	VC	26.0	-1	-1	A
1963	2	VI	0.0	0	-1	I
1963	2	VS	26.0	-1	-1	A
1963	3	VC	30.0	1	1	I
1963	3	VI	1.0	1	1	H
1963	3	VS	29.0	1	1	I
1963	4	VC	17.0	-1	-1	A
1963	4	VI	1.0	0	1	A
1963	4	VS	16.0	-1	-1	A
1963	5	VC	13.0	-1	-1	I
1963	5	VI	0.0	-1	-1	B
1963	5	VS	13.0	-1	-1	I
1963	6	VC	30.0	1	1	I
1963	6	VI	1.0	1	1	I
1963	6	VS	29.0	1	1	I
1963	7	VC	28.0	-1	1	A
1963	7	VI	0.0	-1	-1	A
1963	7	VS	28.0	-1	1	A
1963	8	VC	17.0	-1	-1	C
1963	8	VI	2.0	1	1	I
1963	8	VS	15.0	-1	-1	C
1963	9	VC	18.0	1	-1	I
1963	9	VI	0.0	-1	-1	A
1963	9	VS	18.0	1	-1	I
1963	10	VC	13.0	-1	-1	G
1963	10	VI	0.0	0	-1	I
1963	10	VS	13.0	-1	-1	G
1963	11	VC	7.0	-1	-1	I
1963	11	VI	0.0	0	-1	H
1963	11	VS	7.0	-1	-1	I
1963	12	VC	8.0	1	-1	I
1963	12	VI	0.0	0	-1	H
1963	12	VS	8.0	1	-1	I
1964	1	VC	12.0	1	-1	G
1964	1	VI	0.0	0	-1	H
1964	1	VS	12.0	1	-1	G
1964	2	VC	11.0	-1	-1	G
1964	2	VI	0.0	0	-1	H
1964	2	VS	11.0	-1	-1	G
1964	3	VC	12.0	1	-1	I
1964	3	VI	0.0	0	-1	H
1964	3	VS	12.0	1	-1	I
1964	4	VC	9.0	-1	-1	G
1964	4	VI	0.0	0	-1	H
1964	4	VS	9.0	-1	-1	G
1964	5	VC	11.0	1	-1	I
1964	5	VI	0.0	0	-1	H
